date,store_id,sku,category,units_sold,inventory_level,units_ordered,price,promotion,weather,is_holiday
2024-01-01,S01,SKU004,Beverages,12,28,39,4.64,1,Hot,0
2024-01-01,S01,SKU001,Household,7,22,12,17.27,0,Cold,0
2024-01-01,S01,SKU009,Beverages,6,17,44,18.23,0,Hot,0
2024-01-01,S01,SKU008,Household,2,38,0,8.21,0,Hot,0
2024-01-01,S01,SKU017,Frozen,6,45,0,6.28,0,Cold,0
2024-01-01,S01,SKU003,Beverages,2,18,44,15.91,0,Cloudy,0
2024-01-01,S02,SKU001,Snacks,8,26,36,11.44,0,Cloudy,0
2024-01-01,S02,SKU003,Household,6,36,0,14.06,0,Cold,0
2024-01-01,S02,SKU007,Frozen,10,32,0,16.17,1,Hot,0
2024-01-01,S02,SKU008,Snacks,10,43,0,3.71,0,Cloudy,0
2024-01-01,S02,SKU020,Frozen,8,24,11,10.3,1,Cold,0
2024-01-01,S02,SKU009,Household,8,38,0,12.85,0,Cloudy,0
2024-01-01,S03,SKU009,Snacks,17,24,20,7.15,1,Sunny,0
2024-01-01,S03,SKU001,Snacks,10,45,0,7.31,1,Cloudy,0
2024-01-01,S03,SKU006,Dairy,13,20,12,13.32,0,Sunny,0
2024-01-01,S03,SKU014,Beverages,12,39,0,15.49,0,Sunny,0
2024-01-01,S03,SKU011,Beverages,10,29,40,16.96,0,Cloudy,0
2024-01-01,S03,SKU005,Frozen,6,29,33,18.31,0,Rainy,0
2024-01-01,S04,SKU004,Frozen,3,29,31,12.02,0,Sunny,0
2024-01-01,S04,SKU012,Household,5,10,41,10.86,0,Cloudy,0
2024-01-01,S04,SKU019,Beverages,14,14,43,5.18,1,Sunny,0
2024-01-01,S04,SKU009,Frozen,11,34,0,17.18,0,Hot,0
2024-01-01,S04,SKU002,Beverages,4,23,41,17.2,0,Cold,0
2024-01-01,S04,SKU018,Household,17,30,44,7.06,0,Rainy,0
2024-01-01,S05,SKU010,Snacks,6,29,30,19.37,0,Hot,0
2024-01-01,S05,SKU012,Dairy,20,39,0,6.74,1,Cloudy,0
2024-01-01,S05,SKU007,Beverages,8,27,45,18.95,0,Sunny,0
2024-01-01,S05,SKU003,Snacks,11,31,0,14.27,0,Cold,0
2024-01-01,S05,SKU002,Beverages,9,49,0,0.72,0,Hot,0
2024-01-01,S05,SKU011,Frozen,7,49,0,19.41,0,Cold,0
2024-01-02,S01,SKU009,Snacks,4,7,25,14.87,0,Cloudy,0
2024-01-02,S01,SKU015,Dairy,7,40,0,19.73,0,Sunny,0
2024-01-02,S01,SKU012,Beverages,10,14,39,17.39,1,Cold,0
2024-01-02,S01,SKU006,Household,6,25,15,13.99,0,Cold,0
2024-01-02,S01,SKU018,Snacks,13,14,21,16.42,0,Hot,0
2024-01-02,S01,SKU017,Household,5,38,0,7.34,0,Rainy,0
2024-01-02,S02,SKU008,Household,11,17,20,1.98,0,Sunny,0
2024-01-02,S02,SKU006,Snacks,10,32,0,7.28,0,Cold,0
2024-01-02,S02,SKU015,Dairy,7,21,35,17.43,0,Sunny,0
2024-01-02,S02,SKU013,Beverages,12,27,27,9.22,0,Cloudy,0
2024-01-02,S02,SKU009,Snacks,4,14,12,13.15,0,Rainy,0
2024-01-02,S02,SKU018,Beverages,3,49,0,6.94,0,Sunny,0
2024-01-02,S03,SKU011,Household,2,10,40,8.5,0,Hot,0
2024-01-02,S03,SKU013,Dairy,8,48,0,4.5,0,Rainy,0
2024-01-02,S03,SKU009,Snacks,12,12,19,11.2,0,Rainy,0
2024-01-02,S03,SKU003,Frozen,9,38,0,4.03,0,Cloudy,0
2024-01-02,S03,SKU007,Frozen,16,44,0,9.31,1,Cloudy,0
2024-01-02,S03,SKU015,Frozen,4,10,12,12.74,0,Rainy,0
2024-01-02,S04,SKU005,Household,8,17,19,7.17,0,Cold,0
2024-01-02,S04,SKU009,Frozen,5,31,0,13,0,Cloudy,0
2024-01-02,S04,SKU020,Household,12,22,45,18.42,0,Cold,0
2024-01-02,S04,SKU008,Frozen,17,44,0,12.35,1,Sunny,0
2024-01-02,S04,SKU019,Dairy,10,16,33,6.57,0,Cold,0
2024-01-02,S04,SKU012,Snacks,6,13,10,6.54,0,Cloudy,0
2024-01-02,S05,SKU005,Beverages,2,15,37,9.88,0,Cloudy,0
2024-01-02,S05,SKU017,Snacks,8,25,38,8.46,0,Sunny,0
2024-01-02,S05,SKU016,Snacks,5,19,43,16.2,0,Cloudy,0
